locus_tag	ftype	length_bp	gene	EC_number	COG	product
GJHCLFJP_00022	CDS	1269				hypothetical protein
GJHCLFJP_00023	gene	624	udk			
GJHCLFJP_00023	CDS	624	udk	2.7.1.48		Uridine kinase
GJHCLFJP_00024	gene	477	greA			
GJHCLFJP_00024	CDS	477	greA			Transcription elongation factor GreA
GJHCLFJP_00025	gene	735	pxpB_1			
GJHCLFJP_00025	CDS	735	pxpB_1	3.5.2.9	COG2049	5-oxoprolinase subunit B
GJHCLFJP_00026	gene	1011	pxpC_1			
GJHCLFJP_00026	CDS	1011	pxpC_1	3.5.2.9	COG1984	5-oxoprolinase subunit C
GJHCLFJP_00027	gene	450	accB_1			
GJHCLFJP_00027	CDS	450	accB_1		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
GJHCLFJP_00028	gene	1362	accC			
GJHCLFJP_00028	CDS	1362	accC	6.3.4.14	COG0439	Biotin carboxylase
GJHCLFJP_00029	gene	753	pxpA			
GJHCLFJP_00029	CDS	753	pxpA	3.5.2.9	COG1540	5-oxoprolinase subunit A
GJHCLFJP_00030	gene	1230	mntH_1			
GJHCLFJP_00030	CDS	1230	mntH_1			Divalent metal cation transporter MntH
GJHCLFJP_00031	gene	1221				
GJHCLFJP_00031	CDS	1221				hypothetical protein
GJHCLFJP_00032	gene	753	entA			
GJHCLFJP_00032	CDS	753	entA			Enterotoxin type A
GJHCLFJP_00033	gene	270				
GJHCLFJP_00033	CDS	270				hypothetical protein
GJHCLFJP_00034	gene	687	mtnN			
GJHCLFJP_00034	CDS	687	mtnN	3.2.2.9		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
GJHCLFJP_00035	gene	528				
GJHCLFJP_00035	CDS	528				hypothetical protein
GJHCLFJP_00036	gene	1101	yqeH			
GJHCLFJP_00036	CDS	1101	yqeH		COG1161	putative protein YqeH
GJHCLFJP_00037	gene	807	aroE			
GJHCLFJP_00037	CDS	807	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
GJHCLFJP_00038	gene	291	yhbY			
GJHCLFJP_00038	CDS	291	yhbY		COG1534	RNA-binding protein YhbY
GJHCLFJP_00039	gene	570	nadD			
GJHCLFJP_00039	CDS	570	nadD	2.7.7.18	COG1057	putative nicotinate-nucleotide adenylyltransferase
GJHCLFJP_00040	gene	585				
GJHCLFJP_00040	CDS	585				hypothetical protein
GJHCLFJP_00041	gene	354	rsfS			
GJHCLFJP_00041	CDS	354	rsfS		COG0799	Ribosomal silencing factor RsfS
GJHCLFJP_00042	gene	471	tam			
GJHCLFJP_00042	CDS	471	tam	2.1.1.144		Trans-aconitate 2-methyltransferase
GJHCLFJP_00043	gene	234				
GJHCLFJP_00043	CDS	234				hypothetical protein
GJHCLFJP_00044	gene	678	comEA			
GJHCLFJP_00044	CDS	678	comEA		COG1555	ComE operon protein 1
GJHCLFJP_00045	gene	432	tadA_1			
GJHCLFJP_00045	CDS	432	tadA_1	3.5.4.33		tRNA-specific adenosine deaminase
GJHCLFJP_00046	gene	2202	comEC			
GJHCLFJP_00046	CDS	2202	comEC		COG0658	ComE operon protein 3
GJHCLFJP_00047	gene	975	yqeN			
GJHCLFJP_00047	CDS	975	yqeN		COG1466	putative protein YqeN
GJHCLFJP_00048	gene	252	rpsT			
GJHCLFJP_00048	CDS	252	rpsT			30S ribosomal protein S20
GJHCLFJP_00049	gene	1824	lepA			
GJHCLFJP_00049	CDS	1824	lepA	3.6.5.-	COG0481	Elongation factor 4
GJHCLFJP_00050	gene	1158	hemW			
GJHCLFJP_00050	CDS	1158	hemW		COG0635	Heme chaperone HemW
GJHCLFJP_00051	gene	978	hrcA			
GJHCLFJP_00051	CDS	978	hrcA		COG1420	Heat-inducible transcription repressor HrcA
GJHCLFJP_00052	gene	627	grpE			
GJHCLFJP_00052	CDS	627	grpE			Protein GrpE
GJHCLFJP_00053	gene	1833	dnaK			
GJHCLFJP_00053	CDS	1833	dnaK			Chaperone protein DnaK
GJHCLFJP_00054	gene	1140	dnaJ			
GJHCLFJP_00054	CDS	1140	dnaJ			Chaperone protein DnaJ
GJHCLFJP_00055	gene	939	prmA			
GJHCLFJP_00055	CDS	939	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
GJHCLFJP_00056	gene	753	rsmE			
GJHCLFJP_00056	CDS	753	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
GJHCLFJP_00057	gene	1347	mtaB			
GJHCLFJP_00057	CDS	1347	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
GJHCLFJP_00058	gene	177	rpsU			
GJHCLFJP_00058	CDS	177	rpsU			30S ribosomal protein S21
GJHCLFJP_00059	gene	708				
GJHCLFJP_00059	CDS	708				hypothetical protein
GJHCLFJP_00060	gene	990				
GJHCLFJP_00060	CDS	990				hypothetical protein
GJHCLFJP_00061	gene	699				
GJHCLFJP_00061	CDS	699				hypothetical protein
GJHCLFJP_00062	gene	948				
GJHCLFJP_00062	CDS	948			COG1702	PhoH-like protein
GJHCLFJP_00063	gene	468	ybeY			
GJHCLFJP_00063	CDS	468	ybeY	3.1.-.-		Endoribonuclease YbeY
GJHCLFJP_00064	gene	345	dgkA			
GJHCLFJP_00064	CDS	345	dgkA	2.7.1.66	COG0818	Undecaprenol kinase
GJHCLFJP_00065	gene	405	cdd			
GJHCLFJP_00065	CDS	405	cdd	3.5.4.5	COG0295	Cytidine deaminase
GJHCLFJP_00066	gene	900	era			
GJHCLFJP_00066	CDS	900	era			GTPase Era
GJHCLFJP_00067	gene	747	recO			
GJHCLFJP_00067	CDS	747	recO		COG1381	DNA repair protein RecO
GJHCLFJP_00068	gene	1392	glyQS			
GJHCLFJP_00068	CDS	1392	glyQS	6.1.1.14		Glycine--tRNA ligase
GJHCLFJP_00069	gene	540	ccpN			
GJHCLFJP_00069	CDS	540	ccpN		COG0517	Transcriptional repressor CcpN
GJHCLFJP_00070	gene	819	yqfL			
GJHCLFJP_00070	CDS	819	yqfL	2.7.11.32	COG1806	Putative pyruvate, phosphate dikinase regulatory protein
GJHCLFJP_00071	gene	1800	dnaG			
GJHCLFJP_00071	CDS	1800	dnaG	2.7.7.-	COG0358	DNA primase
GJHCLFJP_00072	gene	1107	sigA			
GJHCLFJP_00072	CDS	1107	sigA			RNA polymerase sigma factor SigA
GJHCLFJP_00073	gene	678	trmK			
GJHCLFJP_00073	CDS	678	trmK	2.1.1.217	COG2384	tRNA (adenine(22)-N(1))-methyltransferase
GJHCLFJP_00074	gene	1101				
GJHCLFJP_00074	CDS	1101			COG0327	GTP cyclohydrolase 1 type 2 
GJHCLFJP_00075	gene	1347	cshB			
GJHCLFJP_00075	CDS	1347	cshB	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshB
GJHCLFJP_00076	gene	891	nfo			
GJHCLFJP_00076	CDS	891	nfo	3.1.21.2		putative endonuclease 4
GJHCLFJP_00077	gene	786	btuD_1			
GJHCLFJP_00077	CDS	786	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
GJHCLFJP_00078	gene	873	znuB			
GJHCLFJP_00078	CDS	873	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
GJHCLFJP_00079	gene	411	zur			
GJHCLFJP_00079	CDS	411	zur		COG0735	Zinc-specific metallo-regulatory protein
GJHCLFJP_00080	gene	600	sodA			
GJHCLFJP_00080	CDS	600	sodA	1.15.1.1		Superoxide dismutase [Mn/Fe] 1
GJHCLFJP_00081	gene	2076	pbpH			
GJHCLFJP_00081	CDS	2076	pbpH		COG0768	Penicillin-binding protein H
GJHCLFJP_00082	gene	150	rpmG2_1			
GJHCLFJP_00082	CDS	150	rpmG2_1		COG0267	50S ribosomal protein L33 2
GJHCLFJP_00083	gene	594	yqgN			
GJHCLFJP_00083	CDS	594	yqgN		COG0212	putative protein YqgN
GJHCLFJP_00084	gene	1464	glpG			
GJHCLFJP_00084	CDS	1464	glpG	3.4.21.105		Rhomboid protease GlpG
GJHCLFJP_00085	gene	987	glcK			
GJHCLFJP_00085	CDS	987	glcK	2.7.1.2	COG1940	Glucokinase
GJHCLFJP_00086	gene	330				
GJHCLFJP_00086	CDS	330				hypothetical protein
GJHCLFJP_00087	gene	624				
GJHCLFJP_00087	CDS	624		3.-.-.-		putative metallo-hydrolase
GJHCLFJP_00088	gene	975	comGA			
GJHCLFJP_00088	CDS	975	comGA		COG2804	ComG operon protein 1
GJHCLFJP_00089	gene	1071				
GJHCLFJP_00089	CDS	1071				hypothetical protein
GJHCLFJP_00090	gene	312	comGC			
GJHCLFJP_00090	CDS	312	comGC		COG4537	ComG operon protein 3
GJHCLFJP_00091	gene	435				
GJHCLFJP_00091	CDS	435				hypothetical protein
GJHCLFJP_00092	gene	300				
GJHCLFJP_00092	CDS	300				hypothetical protein
GJHCLFJP_00093	gene	375				
GJHCLFJP_00093	CDS	375				hypothetical protein
GJHCLFJP_00094	gene	525	aroK			
GJHCLFJP_00094	CDS	525	aroK	2.7.1.71	COG0703	Shikimate kinase
GJHCLFJP_00095	gene	1092	gcvT			
GJHCLFJP_00095	CDS	1092	gcvT	2.1.2.10		Aminomethyltransferase
GJHCLFJP_00096	gene	1347	gcvPA			
GJHCLFJP_00096	CDS	1347	gcvPA	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 1
GJHCLFJP_00097	gene	1473	gcvPB			
GJHCLFJP_00097	CDS	1473	gcvPB	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 2
GJHCLFJP_00098	gene	387	yibN			
GJHCLFJP_00098	CDS	387	yibN		COG0607	putative protein YibN
GJHCLFJP_00099	gene	831	lipM			
GJHCLFJP_00099	CDS	831	lipM	2.3.1.181	COG0095	Octanoyltransferase LipM
GJHCLFJP_00100	gene	219				
GJHCLFJP_00100	CDS	219				hypothetical protein
GJHCLFJP_00101	gene	582				
GJHCLFJP_00101	CDS	582				hypothetical protein
GJHCLFJP_00102	gene	1062	ypdF			
GJHCLFJP_00102	CDS	1062	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
GJHCLFJP_00103	gene	558	efp			
GJHCLFJP_00103	CDS	558	efp			Elongation factor P
GJHCLFJP_00104	gene	465	accB_2			
GJHCLFJP_00104	CDS	465	accB_2		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
GJHCLFJP_00105	gene	1356	cfiB			
GJHCLFJP_00105	CDS	1356	cfiB	6.4.1.7	COG0439	2-oxoglutarate carboxylase small subunit
GJHCLFJP_00106	gene	363				
GJHCLFJP_00106	CDS	363				putative protein
GJHCLFJP_00107	gene	390	nusB			
GJHCLFJP_00107	CDS	390	nusB			Transcription antitermination protein NusB
GJHCLFJP_00108	gene	1338	xseA			
GJHCLFJP_00108	CDS	1338	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
GJHCLFJP_00109	gene	231	xseB			
GJHCLFJP_00109	CDS	231	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
GJHCLFJP_00110	gene	882				
GJHCLFJP_00110	CDS	882		2.5.1.10		Farnesyl diphosphate synthase
GJHCLFJP_00111	gene	453	argR_1			
GJHCLFJP_00111	CDS	453	argR_1			Arginine repressor
GJHCLFJP_00112	gene	1680	recN			
GJHCLFJP_00112	CDS	1680	recN		COG0497	DNA repair protein RecN
GJHCLFJP_00113	gene	1422				
GJHCLFJP_00113	CDS	1422		1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
GJHCLFJP_00114	gene	993	bfmBAA			
GJHCLFJP_00114	CDS	993	bfmBAA	1.2.4.4	COG1071	2-oxoisovalerate dehydrogenase subunit alpha
GJHCLFJP_00115	gene	984	bfmBAB			
GJHCLFJP_00115	CDS	984	bfmBAB	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
GJHCLFJP_00116	gene	1275	pdhC_1			
GJHCLFJP_00116	CDS	1275	pdhC_1	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
GJHCLFJP_00117	gene	438				
GJHCLFJP_00117	CDS	438				hypothetical protein
GJHCLFJP_00118	gene	981				
GJHCLFJP_00118	CDS	981				hypothetical protein
GJHCLFJP_00119	gene	93				
GJHCLFJP_00119	CDS	93				hypothetical protein
GJHCLFJP_00120	gene	1134	pepT_1			
GJHCLFJP_00120	CDS	1134	pepT_1	3.4.11.4	COG2195	Peptidase T
GJHCLFJP_00121	gene	1407	gnd			
GJHCLFJP_00121	CDS	1407	gnd	1.1.1.44		6-phosphogluconate dehydrogenase, decarboxylating
GJHCLFJP_00122	gene	372				
GJHCLFJP_00122	CDS	372				hypothetical protein
GJHCLFJP_00123	gene	1020	malR			
GJHCLFJP_00123	CDS	1020	malR		COG1609	HTH-type transcriptional regulator MalR
GJHCLFJP_00124	gene	1650	malL			
GJHCLFJP_00124	CDS	1650	malL	3.2.1.10	COG0366	Oligo-1,6-glucosidase
GJHCLFJP_00125	gene	867				
GJHCLFJP_00125	CDS	867				hypothetical protein
GJHCLFJP_00126	gene	1485	zwf			
GJHCLFJP_00126	CDS	1485	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
GJHCLFJP_00127	gene	921	rnz			
GJHCLFJP_00127	CDS	921	rnz	3.1.26.11	COG1234	Ribonuclease Z
GJHCLFJP_00128	gene	816	proC			
GJHCLFJP_00128	CDS	816	proC	1.5.1.2		Pyrroline-5-carboxylate reductase
GJHCLFJP_00129	gene	756				
GJHCLFJP_00129	CDS	756		1.-.-.-		putative oxidoreductase
GJHCLFJP_00130	gene	249				
GJHCLFJP_00130	CDS	249				hypothetical protein
GJHCLFJP_00131	gene	909	yajO			
GJHCLFJP_00131	CDS	909	yajO	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
GJHCLFJP_00132	gene	543	nudF			
GJHCLFJP_00132	CDS	543	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
GJHCLFJP_00133	gene	450	fur			
GJHCLFJP_00133	CDS	450	fur		COG0735	Ferric uptake regulation protein
GJHCLFJP_00134	gene	888	xerD_1			
GJHCLFJP_00134	CDS	888	xerD_1			Tyrosine recombinase XerD
GJHCLFJP_00135	gene	507				
GJHCLFJP_00135	CDS	507				hypothetical protein
GJHCLFJP_00136	gene	756	scpA			
GJHCLFJP_00136	CDS	756	scpA		COG1354	Segregation and condensation protein A
GJHCLFJP_00137	gene	543	scpB			
GJHCLFJP_00137	CDS	543	scpB		COG1386	Segregation and condensation protein B
GJHCLFJP_00138	gene	738	rluB			
GJHCLFJP_00138	CDS	738	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
GJHCLFJP_00139	gene	726	srrA			
GJHCLFJP_00139	CDS	726	srrA		COG0745	Transcriptional regulatory protein SrrA
GJHCLFJP_00140	gene	1752	srrB			
GJHCLFJP_00140	CDS	1752	srrB	2.7.13.3		Sensor protein SrrB
GJHCLFJP_00141	gene	927				
GJHCLFJP_00141	CDS	927				hypothetical protein
GJHCLFJP_00142	gene	207				
GJHCLFJP_00142	CDS	207				hypothetical protein
GJHCLFJP_00143	gene	915				
GJHCLFJP_00143	CDS	915				hypothetical protein
GJHCLFJP_00144	gene	546	ribU			
GJHCLFJP_00144	CDS	546	ribU			Riboflavin transporter RibU
GJHCLFJP_00145	gene	249				
GJHCLFJP_00145	CDS	249				Ferredoxin
GJHCLFJP_00146	gene	954				
GJHCLFJP_00146	CDS	954				hypothetical protein
GJHCLFJP_00147	gene	1380	recQ_1			
GJHCLFJP_00147	CDS	1380	recQ_1	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
GJHCLFJP_00148	gene	1461	ebpS			
GJHCLFJP_00148	CDS	1461	ebpS			Elastin-binding protein EbpS
GJHCLFJP_00149	gene	987				
GJHCLFJP_00149	CDS	987		4.3.1.9	COG0492	Glucosaminate ammonia-lyase
GJHCLFJP_00150	gene	969	ansA			
GJHCLFJP_00150	CDS	969	ansA	3.5.1.1	COG0252	putative L-asparaginase
GJHCLFJP_00151	gene	660	cmk			
GJHCLFJP_00151	CDS	660	cmk	2.7.4.25		Cytidylate kinase
GJHCLFJP_00152	gene	1176	rpsA			
GJHCLFJP_00152	CDS	1176	rpsA			30S ribosomal protein S1
GJHCLFJP_00153	gene	1311	der_1			
GJHCLFJP_00153	CDS	1311	der_1			GTPase Der
GJHCLFJP_00154	gene	999	gpsA			
GJHCLFJP_00154	CDS	999	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
GJHCLFJP_00155	gene	273	hup			
GJHCLFJP_00155	CDS	273	hup			DNA-binding protein HU
GJHCLFJP_00156	gene	573				
GJHCLFJP_00156	CDS	573				hypothetical protein
GJHCLFJP_00157	gene	726	menG			
GJHCLFJP_00157	CDS	726	menG	2.1.1.163		Demethylmenaquinone methyltransferase
GJHCLFJP_00158	gene	960	hepT			
GJHCLFJP_00158	CDS	960	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
GJHCLFJP_00159	gene	450	ndk			
GJHCLFJP_00159	CDS	450	ndk	2.7.4.6		Nucleoside diphosphate kinase
GJHCLFJP_00160	gene	201				
GJHCLFJP_00160	CDS	201				hypothetical protein
GJHCLFJP_00161	gene	1167	aroC			
GJHCLFJP_00161	CDS	1167	aroC	4.2.3.5	COG0082	Chorismate synthase
GJHCLFJP_00162	gene	1065	aroB			
GJHCLFJP_00162	CDS	1065	aroB	4.2.3.4		3-dehydroquinate synthase
GJHCLFJP_00163	gene	1299	aroA_1			
GJHCLFJP_00163	CDS	1299	aroA_1	2.5.1.19		3-phosphoshikimate 1-carboxyvinyltransferase
GJHCLFJP_00164	gene	1245	bepA			
GJHCLFJP_00164	CDS	1245	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
GJHCLFJP_00165	gene	588				
GJHCLFJP_00165	CDS	588				hypothetical protein
GJHCLFJP_00166	gene	588				
GJHCLFJP_00166	CDS	588				hypothetical protein
GJHCLFJP_00167	gene	699				
GJHCLFJP_00167	CDS	699				hypothetical protein
GJHCLFJP_00168	gene	318	ypjD			
GJHCLFJP_00168	CDS	318	ypjD		COG1694	putative protein YpjD
GJHCLFJP_00169	gene	1143	bshA			
GJHCLFJP_00169	CDS	1143	bshA	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
GJHCLFJP_00170	gene	1203	cca			
GJHCLFJP_00170	CDS	1203	cca	2.7.7.72		CCA-adding enzyme
GJHCLFJP_00171	gene	972	birA			
GJHCLFJP_00171	CDS	972	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
GJHCLFJP_00172	gene	2694	dinG			
GJHCLFJP_00172	CDS	2694	dinG	3.1.-.-		3'-5' exonuclease DinG
GJHCLFJP_00173	gene	1293	asnS			
GJHCLFJP_00173	CDS	1293	asnS	6.1.1.22		Asparagine--tRNA ligase
GJHCLFJP_00174	gene	687	dnaD			
GJHCLFJP_00174	CDS	687	dnaD		COG3935	DNA replication protein DnaD
GJHCLFJP_00175	gene	660	nth_1			
GJHCLFJP_00175	CDS	660	nth_1	4.2.99.18	COG0177	Endonuclease III
GJHCLFJP_00176	gene	342				
GJHCLFJP_00176	CDS	342				hypothetical protein
GJHCLFJP_00177	gene	2184	ponA			
GJHCLFJP_00177	CDS	2184	ponA		COG0744	Penicillin-binding protein 1A/1B
GJHCLFJP_00178	gene	627	recU			
GJHCLFJP_00178	CDS	627	recU	3.1.22.4		Holliday junction resolvase RecU
GJHCLFJP_00179	gene	402				
GJHCLFJP_00179	CDS	402				hypothetical protein
GJHCLFJP_00180	gene	564				
GJHCLFJP_00180	CDS	564				hypothetical protein
GJHCLFJP_00181	gene	345	gpsB			
GJHCLFJP_00181	CDS	345	gpsB			Cell cycle protein GpsB
GJHCLFJP_00182	gene	117				
GJHCLFJP_00182	CDS	117				hypothetical protein
GJHCLFJP_00183	gene	1146	rlmL			
GJHCLFJP_00183	CDS	1146	rlmL	2.1.1.173	COG0116	Ribosomal RNA large subunit methyltransferase L
GJHCLFJP_00184	gene	333				
GJHCLFJP_00184	CDS	333				hypothetical protein
GJHCLFJP_00185	gene	1341				
GJHCLFJP_00185	CDS	1341				hypothetical protein
GJHCLFJP_00186	gene	3441	der_2			
GJHCLFJP_00186	CDS	3441	der_2			GTPase Der
GJHCLFJP_00187	gene	879	ypcP			
GJHCLFJP_00187	CDS	879	ypcP	3.1.11.-	COG0258	5'-3' exonuclease
GJHCLFJP_00188	gene	1119	ald1			
GJHCLFJP_00188	CDS	1119	ald1	1.4.1.1		Alanine dehydrogenase 1
GJHCLFJP_00189	gene	1041	tdcB			
GJHCLFJP_00189	CDS	1041	tdcB	4.3.1.19		L-threonine dehydratase catabolic TdcB
GJHCLFJP_00190	gene	1323	steT			
GJHCLFJP_00190	CDS	1323	steT		COG0531	Serine/threonine exchanger SteT
GJHCLFJP_00191	gene	1401	norB_1			
GJHCLFJP_00191	CDS	1401	norB_1			Quinolone resistance protein NorB
GJHCLFJP_00192	gene	31266	ebh			
GJHCLFJP_00192	CDS	31266	ebh			Extracellular matrix-binding protein ebh
GJHCLFJP_00193	gene	402	rnhA			
GJHCLFJP_00193	CDS	402	rnhA		COG0328	14.7 kDa ribonuclease H-like protein
GJHCLFJP_00194	gene	990	trpS			
GJHCLFJP_00194	CDS	990	trpS	6.1.1.2		Tryptophan--tRNA ligase
GJHCLFJP_00195	gene	396	spxA			
GJHCLFJP_00195	CDS	396	spxA			Regulatory protein Spx
GJHCLFJP_00196	gene	720	mecA_1			
GJHCLFJP_00196	CDS	720	mecA_1		COG4862	Adapter protein MecA
GJHCLFJP_00197	gene	258				
GJHCLFJP_00197	CDS	258				hypothetical protein
GJHCLFJP_00198	gene	615				
GJHCLFJP_00198	CDS	615				hypothetical protein
GJHCLFJP_00199	gene	1809	pepF1_1			
GJHCLFJP_00199	CDS	1809	pepF1_1	3.4.24.-		Oligoendopeptidase F, plasmid
GJHCLFJP_00200	gene	807				
GJHCLFJP_00200	CDS	807				hypothetical protein
GJHCLFJP_00201	gene	366	yjbI			
GJHCLFJP_00201	CDS	366	yjbI		COG2346	Group 2 truncated hemoglobin YjbI
GJHCLFJP_00202	gene	594	yjbK			
GJHCLFJP_00202	CDS	594	yjbK	3.6.1.-	COG4116	Putative triphosphatase YjbK
GJHCLFJP_00203	gene	348				
GJHCLFJP_00203	CDS	348				hypothetical protein
GJHCLFJP_00204	gene	636	yjbM			
GJHCLFJP_00204	CDS	636	yjbM	2.7.6.5	COG2357	GTP pyrophosphokinase YjbM
GJHCLFJP_00205	gene	810	nadK			
GJHCLFJP_00205	CDS	810	nadK	2.7.1.23		NAD kinase
GJHCLFJP_00206	gene	855				
GJHCLFJP_00206	CDS	855				hypothetical protein
GJHCLFJP_00207	gene	1386	mgtE			
GJHCLFJP_00207	CDS	1386	mgtE		COG2239	Magnesium transporter MgtE
GJHCLFJP_00208	gene	1845	kefB			
GJHCLFJP_00208	CDS	1845	kefB			Glutathione-regulated potassium-efflux system protein KefB
GJHCLFJP_00209	gene	771	fabI			
GJHCLFJP_00209	CDS	771	fabI	1.3.1.39		Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI
GJHCLFJP_00210	gene	1086				
GJHCLFJP_00210	CDS	1086			COG0628	Putative transport protein
GJHCLFJP_00211	gene	1569	acp			
GJHCLFJP_00211	CDS	1569	acp			Sodium/proton-dependent alanine carrier protein
GJHCLFJP_00212	gene	759				
GJHCLFJP_00212	CDS	759				hypothetical protein
GJHCLFJP_00213	gene	510				
GJHCLFJP_00213	CDS	510		3.1.-.-		Putative phosphoesterase
GJHCLFJP_00214	gene	1191	ltaA			
GJHCLFJP_00214	CDS	1191	ltaA			putative glycolipid permease LtaA
GJHCLFJP_00215	gene	1176	ugtP			
GJHCLFJP_00215	CDS	1176	ugtP	2.4.1.315	COG0707	Processive diacylglycerol beta-glucosyltransferase
GJHCLFJP_00216	gene	1482	murE			
GJHCLFJP_00216	CDS	1482	murE	6.3.2.7		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
GJHCLFJP_00217	gene	252				
GJHCLFJP_00217	CDS	252				hypothetical protein
GJHCLFJP_00218	gene	1563	prfC			
GJHCLFJP_00218	CDS	1563	prfC			Peptide chain release factor 3
GJHCLFJP_00219	gene	804				
GJHCLFJP_00219	CDS	804				hypothetical protein
GJHCLFJP_00220	gene	2310				
GJHCLFJP_00220	CDS	2310		3.4.21.-		Serine protease HtrA-like protein
GJHCLFJP_00221	gene	1359	ktrB_1			
GJHCLFJP_00221	CDS	1359	ktrB_1		COG0168	Ktr system potassium uptake protein B
GJHCLFJP_00222	gene	1515				
GJHCLFJP_00222	CDS	1515				hypothetical protein
GJHCLFJP_00223	gene	91				
GJHCLFJP_00223	tRNA	91				tRNA-Ser(gct)
GJHCLFJP_00224	gene	75				
GJHCLFJP_00224	tRNA	75				tRNA-Asn(gtt)
GJHCLFJP_00225	gene	570				
GJHCLFJP_00225	CDS	570				hypothetical protein
GJHCLFJP_00226	gene	219				
