locus_tag	ftype	length_bp	gene	EC_number	COG	product
EHKPOLGJ_00043	CDS	603	rpsD			30S ribosomal protein S4
EHKPOLGJ_00044	gene	465	msrC			
EHKPOLGJ_00044	CDS	465	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
EHKPOLGJ_00045	gene	1695	ezrA			
EHKPOLGJ_00045	CDS	1695	ezrA			Septation ring formation regulator EzrA
EHKPOLGJ_00046	gene	1167	iscS_1			
EHKPOLGJ_00046	CDS	1167	iscS_1	2.8.1.7	COG1104	Cysteine desulfurase IscS
EHKPOLGJ_00047	gene	1224	thiI			
EHKPOLGJ_00047	CDS	1224	thiI	2.8.1.4	COG0301	putative tRNA sulfurtransferase
EHKPOLGJ_00048	gene	771	yfcA			
EHKPOLGJ_00048	CDS	771	yfcA		COG0730	putative membrane transporter protein YfcA
EHKPOLGJ_00049	gene	495	tpx			
EHKPOLGJ_00049	CDS	495	tpx	1.11.1.15		Thiol peroxidase
EHKPOLGJ_00050	gene	948				
EHKPOLGJ_00050	CDS	948				hypothetical protein
EHKPOLGJ_00051	gene	1203	ackA			
EHKPOLGJ_00051	CDS	1203	ackA	2.7.2.1		Acetate kinase
EHKPOLGJ_00052	gene	501				
EHKPOLGJ_00052	CDS	501				Putative universal stress protein
EHKPOLGJ_00053	gene	1119	ald2			
EHKPOLGJ_00053	CDS	1119	ald2	1.4.1.1		Alanine dehydrogenase 2
EHKPOLGJ_00054	gene	1056				
EHKPOLGJ_00054	CDS	1056		3.4.-.-		putative peptidase
EHKPOLGJ_00055	gene	690				
EHKPOLGJ_00055	CDS	690				hypothetical protein
EHKPOLGJ_00056	gene	414				
EHKPOLGJ_00056	CDS	414				hypothetical protein
EHKPOLGJ_00057	gene	1299	IMPDH			
EHKPOLGJ_00057	CDS	1299	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
EHKPOLGJ_00058	gene	942	nrnA			
EHKPOLGJ_00058	CDS	942	nrnA	3.1.-.-	COG0618	Bifunctional oligoribonuclease and PAP phosphatase NrnA
EHKPOLGJ_00059	gene	3198	dnaE2			
EHKPOLGJ_00059	CDS	3198	dnaE2	2.7.7.7		Error-prone DNA polymerase
EHKPOLGJ_00060	gene	1230				
EHKPOLGJ_00060	CDS	1230		1.1.1.38		NAD-dependent malic enzyme
EHKPOLGJ_00061	gene	858	accD			
EHKPOLGJ_00061	CDS	858	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
EHKPOLGJ_00062	gene	945	accA			
EHKPOLGJ_00062	CDS	945	accA	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
EHKPOLGJ_00063	gene	969	pfkA			
EHKPOLGJ_00063	CDS	969	pfkA	2.7.1.11		ATP-dependent 6-phosphofructokinase
EHKPOLGJ_00064	gene	1758	pyk			
EHKPOLGJ_00064	CDS	1758	pyk	2.7.1.40		Pyruvate kinase
EHKPOLGJ_00065	gene	1362	cycA_1			
EHKPOLGJ_00065	CDS	1362	cycA_1		COG1113	D-serine/D-alanine/glycine transporter
EHKPOLGJ_00066	gene	1122	citZ			
EHKPOLGJ_00066	CDS	1122	citZ	2.3.3.16	COG0372	Citrate synthase 2
EHKPOLGJ_00067	gene	1269	icd			
EHKPOLGJ_00067	CDS	1269	icd	1.1.1.42		Isocitrate dehydrogenase [NADP]
EHKPOLGJ_00068	gene	705	phoP			
EHKPOLGJ_00068	CDS	705	phoP		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
EHKPOLGJ_00069	gene	1665	phoR			
EHKPOLGJ_00069	CDS	1665	phoR	2.7.13.3	COG0642	Alkaline phosphatase synthesis sensor protein PhoR
EHKPOLGJ_00070	gene	1488				
EHKPOLGJ_00070	CDS	1488				hypothetical protein
EHKPOLGJ_00071	gene	2631	polA			
EHKPOLGJ_00071	CDS	2631	polA	2.7.7.7		DNA polymerase I
EHKPOLGJ_00072	gene	873	mutM			
EHKPOLGJ_00072	CDS	873	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
EHKPOLGJ_00073	gene	624	coaE			
EHKPOLGJ_00073	CDS	624	coaE	2.7.1.24		Dephospho-CoA kinase
EHKPOLGJ_00074	gene	1026	gapA2			
EHKPOLGJ_00074	CDS	1026	gapA2	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase 2
EHKPOLGJ_00075	gene	471	nrdR			
EHKPOLGJ_00075	CDS	471	nrdR		COG1327	Transcriptional repressor NrdR
EHKPOLGJ_00076	gene	1401	dnaB			
EHKPOLGJ_00076	CDS	1401	dnaB		COG3611	Replication initiation and membrane attachment protein
EHKPOLGJ_00077	gene	921	dnaI			
EHKPOLGJ_00077	CDS	921	dnaI		COG1484	Primosomal protein DnaI
EHKPOLGJ_00078	gene	1938	thrS			
EHKPOLGJ_00078	CDS	1938	thrS	6.1.1.3		Threonine--tRNA ligase
EHKPOLGJ_00079	gene	1494	lysP_1			
EHKPOLGJ_00079	CDS	1494	lysP_1		COG0833	Lysine-specific permease
EHKPOLGJ_00080	gene	561	infC			
EHKPOLGJ_00080	CDS	561	infC			Translation initiation factor IF-3
EHKPOLGJ_00081	gene	201	rpmI			
EHKPOLGJ_00081	CDS	201	rpmI			50S ribosomal protein L35
EHKPOLGJ_00082	gene	357	rplT			
EHKPOLGJ_00082	CDS	357	rplT			50S ribosomal protein L20
EHKPOLGJ_00083	gene	609				
EHKPOLGJ_00083	CDS	609				hypothetical protein
EHKPOLGJ_00084	gene	930				
EHKPOLGJ_00084	CDS	930				hypothetical protein
EHKPOLGJ_00085	gene	1302	tig			
EHKPOLGJ_00085	CDS	1302	tig	5.2.1.8		Trigger factor
EHKPOLGJ_00086	gene	1263	clpX			
EHKPOLGJ_00086	CDS	1263	clpX			ATP-dependent Clp protease ATP-binding subunit ClpX
EHKPOLGJ_00087	gene	591	engB			
EHKPOLGJ_00087	CDS	591	engB			putative GTP-binding protein EngB
EHKPOLGJ_00088	gene	1347	hemA			
EHKPOLGJ_00088	CDS	1347	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
EHKPOLGJ_00089	gene	816				
EHKPOLGJ_00089	CDS	816				hypothetical protein
EHKPOLGJ_00090	gene	927	hemC			
EHKPOLGJ_00090	CDS	927	hemC	2.5.1.61		Porphobilinogen deaminase
EHKPOLGJ_00091	gene	669				
EHKPOLGJ_00091	CDS	669				hypothetical protein
EHKPOLGJ_00092	gene	975	hemB			
EHKPOLGJ_00092	CDS	975	hemB	4.2.1.24		Delta-aminolevulinic acid dehydratase
EHKPOLGJ_00093	gene	1287	hemL1			
EHKPOLGJ_00093	CDS	1287	hemL1	5.4.3.8		Glutamate-1-semialdehyde 2,1-aminomutase 1
EHKPOLGJ_00094	gene	1068				
EHKPOLGJ_00094	CDS	1068				hypothetical protein
EHKPOLGJ_00095	gene	561	tag			
EHKPOLGJ_00095	CDS	561	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
EHKPOLGJ_00096	gene	2631	valS			
EHKPOLGJ_00096	CDS	2631	valS	6.1.1.9		Valine--tRNA ligase
EHKPOLGJ_00097	gene	1272	fpgS			
EHKPOLGJ_00097	CDS	1272	fpgS	6.3.2.17		Folylpolyglutamate synthase
EHKPOLGJ_00098	gene	708	comC			
EHKPOLGJ_00098	CDS	708	comC			Type 4 prepilin-like proteins leader peptide-processing enzyme
EHKPOLGJ_00099	gene	687				
EHKPOLGJ_00099	CDS	687				hypothetical protein
EHKPOLGJ_00100	gene	285				
EHKPOLGJ_00100	CDS	285				hypothetical protein
EHKPOLGJ_00101	gene	474				
EHKPOLGJ_00101	CDS	474				hypothetical protein
EHKPOLGJ_00102	gene	843	mreC			
EHKPOLGJ_00102	CDS	843	mreC		COG1792	Cell shape-determining protein MreC
EHKPOLGJ_00103	gene	531				
EHKPOLGJ_00103	CDS	531				hypothetical protein
EHKPOLGJ_00104	gene	309	rplU			
EHKPOLGJ_00104	CDS	309	rplU			50S ribosomal protein L21
EHKPOLGJ_00105	gene	321				
EHKPOLGJ_00105	CDS	321				hypothetical protein
EHKPOLGJ_00106	gene	285	rpmA			
EHKPOLGJ_00106	CDS	285	rpmA			50S ribosomal protein L27
EHKPOLGJ_00107	gene	1293	obg			
EHKPOLGJ_00107	CDS	1293	obg	3.6.5.-		GTPase Obg
EHKPOLGJ_00108	gene	459				
EHKPOLGJ_00108	CDS	459				hypothetical protein
EHKPOLGJ_00109	gene	603	ruvA			
EHKPOLGJ_00109	CDS	603	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
EHKPOLGJ_00110	gene	1005	ruvB_1			
EHKPOLGJ_00110	CDS	1005	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
EHKPOLGJ_00111	gene	1026	queA			
EHKPOLGJ_00111	CDS	1026	queA	2.4.99.17		S-adenosylmethionine:tRNA ribosyltransferase-isomerase
EHKPOLGJ_00112	gene	1140	tgt			
EHKPOLGJ_00112	CDS	1140	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
EHKPOLGJ_00113	gene	261	yajC			
EHKPOLGJ_00113	CDS	261	yajC		COG1862	Sec translocon accessory complex subunit YajC
EHKPOLGJ_00114	gene	2280	secDF			
EHKPOLGJ_00114	CDS	2280	secDF		COG0341	Protein translocase subunit SecDF
EHKPOLGJ_00115	gene	2274				
EHKPOLGJ_00115	CDS	2274				hypothetical protein
EHKPOLGJ_00116	gene	519	apt			
EHKPOLGJ_00116	CDS	519	apt	2.4.2.7		Adenine phosphoribosyltransferase
EHKPOLGJ_00117	gene	2211	relA			
EHKPOLGJ_00117	CDS	2211	relA	2.7.6.5		GTP pyrophosphokinase
EHKPOLGJ_00118	gene	453	dtd			
EHKPOLGJ_00118	CDS	453	dtd	3.1.1.96		D-aminoacyl-tRNA deacylase
EHKPOLGJ_00119	gene	876				
EHKPOLGJ_00119	CDS	876				hypothetical protein
EHKPOLGJ_00120	gene	1263	hisS			
EHKPOLGJ_00120	CDS	1263	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
EHKPOLGJ_00121	gene	1767	aspS			
EHKPOLGJ_00121	CDS	1767	aspS	6.1.1.12		Aspartate--tRNA ligase
EHKPOLGJ_00122	gene	774				
EHKPOLGJ_00122	CDS	774				hypothetical protein
EHKPOLGJ_00123	gene	1275				
EHKPOLGJ_00123	CDS	1275			COG2256	putative AAA domain-containing protein
EHKPOLGJ_00124	gene	423	cymR			
EHKPOLGJ_00124	CDS	423	cymR			HTH-type transcriptional regulator CymR
EHKPOLGJ_00125	gene	183				
EHKPOLGJ_00125	CDS	183				hypothetical protein
EHKPOLGJ_00126	gene	147				
EHKPOLGJ_00126	CDS	147				hypothetical protein
EHKPOLGJ_00127	gene	1014				
EHKPOLGJ_00127	CDS	1014				hypothetical protein
EHKPOLGJ_00128	gene	1143	iscS_2			
EHKPOLGJ_00128	CDS	1143	iscS_2	2.8.1.7	COG1104	Cysteine desulfurase IscS
EHKPOLGJ_00129	gene	1119	mnmA			
EHKPOLGJ_00129	CDS	1119	mnmA	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
EHKPOLGJ_00130	gene	669	yrrB			
EHKPOLGJ_00130	CDS	669	yrrB			TPR repeat-containing protein YrrB
EHKPOLGJ_00131	gene	2478	recD2			
EHKPOLGJ_00131	CDS	2478	recD2	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
EHKPOLGJ_00132	gene	2634	alaS			
EHKPOLGJ_00132	CDS	2634	alaS	6.1.1.7		Alanine--tRNA ligase
EHKPOLGJ_00133	gene	261				
EHKPOLGJ_00133	CDS	261				hypothetical protein
EHKPOLGJ_00134	gene	429	yrrK			
EHKPOLGJ_00134	CDS	429	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
EHKPOLGJ_00135	gene	309				
EHKPOLGJ_00135	CDS	309				hypothetical protein
EHKPOLGJ_00136	gene	639	trmR			
EHKPOLGJ_00136	CDS	639	trmR	2.1.1.-	COG4122	tRNA 5-hydroxyuridine methyltransferase
EHKPOLGJ_00137	gene	924	rlhA			
EHKPOLGJ_00137	CDS	924	rlhA		COG0826	23S rRNA 5-hydroxycytidine synthase
EHKPOLGJ_00138	gene	1269				
EHKPOLGJ_00138	CDS	1269				hypothetical protein
EHKPOLGJ_00139	gene	624	udk			
EHKPOLGJ_00139	CDS	624	udk	2.7.1.48		Uridine kinase
EHKPOLGJ_00140	gene	477	greA			
EHKPOLGJ_00140	CDS	477	greA			Transcription elongation factor GreA
EHKPOLGJ_00141	gene	735	pxpB_1			
EHKPOLGJ_00141	CDS	735	pxpB_1	3.5.2.9	COG2049	5-oxoprolinase subunit B
EHKPOLGJ_00142	gene	1011	pxpC_1			
EHKPOLGJ_00142	CDS	1011	pxpC_1	3.5.2.9	COG1984	5-oxoprolinase subunit C
EHKPOLGJ_00143	gene	450	accB_1			
EHKPOLGJ_00143	CDS	450	accB_1		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
EHKPOLGJ_00144	gene	1362	accC			
EHKPOLGJ_00144	CDS	1362	accC	6.3.4.14	COG0439	Biotin carboxylase
EHKPOLGJ_00145	gene	753	pxpA			
EHKPOLGJ_00145	CDS	753	pxpA	3.5.2.9	COG1540	5-oxoprolinase subunit A
EHKPOLGJ_00146	gene	1233	mntH_1			
EHKPOLGJ_00146	CDS	1233	mntH_1			Divalent metal cation transporter MntH
EHKPOLGJ_00147	gene	1221				
EHKPOLGJ_00147	CDS	1221				hypothetical protein
EHKPOLGJ_00148	gene	858	entA_1			
EHKPOLGJ_00148	CDS	858	entA_1			Enterotoxin type A
EHKPOLGJ_00149	gene	270				
EHKPOLGJ_00149	CDS	270				hypothetical protein
EHKPOLGJ_00150	gene	687	mtnN			
EHKPOLGJ_00150	CDS	687	mtnN	3.2.2.9		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
EHKPOLGJ_00151	gene	528				
EHKPOLGJ_00151	CDS	528				hypothetical protein
EHKPOLGJ_00152	gene	1101	yqeH			
EHKPOLGJ_00152	CDS	1101	yqeH		COG1161	putative protein YqeH
EHKPOLGJ_00153	gene	807	aroE			
EHKPOLGJ_00153	CDS	807	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
EHKPOLGJ_00154	gene	291				
EHKPOLGJ_00154	CDS	291			COG1534	RNA-binding protein
EHKPOLGJ_00155	gene	570	nadD			
EHKPOLGJ_00155	CDS	570	nadD	2.7.7.18	COG1057	putative nicotinate-nucleotide adenylyltransferase
EHKPOLGJ_00156	gene	585				
EHKPOLGJ_00156	CDS	585				hypothetical protein
EHKPOLGJ_00157	gene	354	rsfS			
EHKPOLGJ_00157	CDS	354	rsfS		COG0799	Ribosomal silencing factor RsfS
EHKPOLGJ_00158	gene	717	tam			
EHKPOLGJ_00158	CDS	717	tam	2.1.1.144		Trans-aconitate 2-methyltransferase
EHKPOLGJ_00159	gene	678	comEA			
EHKPOLGJ_00159	CDS	678	comEA		COG1555	ComE operon protein 1
EHKPOLGJ_00160	gene	432	tadA_1			
EHKPOLGJ_00160	CDS	432	tadA_1	3.5.4.33		tRNA-specific adenosine deaminase
EHKPOLGJ_00161	gene	2202	comEC			
EHKPOLGJ_00161	CDS	2202	comEC		COG0658	ComE operon protein 3
EHKPOLGJ_00162	gene	975	yqeN			
EHKPOLGJ_00162	CDS	975	yqeN		COG1466	putative protein YqeN
EHKPOLGJ_00163	gene	252	rpsT			
EHKPOLGJ_00163	CDS	252	rpsT			30S ribosomal protein S20
EHKPOLGJ_00164	gene	1824	lepA			
EHKPOLGJ_00164	CDS	1824	lepA	3.6.5.-		Elongation factor 4
EHKPOLGJ_00165	gene	1158	hemW			
EHKPOLGJ_00165	CDS	1158	hemW		COG0635	Heme chaperone HemW
EHKPOLGJ_00166	gene	978	hrcA			
EHKPOLGJ_00166	CDS	978	hrcA		COG1420	Heat-inducible transcription repressor HrcA
EHKPOLGJ_00167	gene	627	grpE			
EHKPOLGJ_00167	CDS	627	grpE			Protein GrpE
EHKPOLGJ_00168	gene	1833	dnaK			
EHKPOLGJ_00168	CDS	1833	dnaK			Chaperone protein DnaK
EHKPOLGJ_00169	gene	1140	dnaJ			
EHKPOLGJ_00169	CDS	1140	dnaJ			Chaperone protein DnaJ
EHKPOLGJ_00170	gene	939	prmA			
EHKPOLGJ_00170	CDS	939	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
EHKPOLGJ_00171	gene	753	rsmE			
EHKPOLGJ_00171	CDS	753	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
EHKPOLGJ_00172	gene	1347	mtaB			
EHKPOLGJ_00172	CDS	1347	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
EHKPOLGJ_00173	gene	177	rpsU			
EHKPOLGJ_00173	CDS	177	rpsU			30S ribosomal protein S21
EHKPOLGJ_00174	gene	708				
EHKPOLGJ_00174	CDS	708				hypothetical protein
EHKPOLGJ_00175	gene	990				
EHKPOLGJ_00175	CDS	990				hypothetical protein
EHKPOLGJ_00176	gene	699				
EHKPOLGJ_00176	CDS	699				hypothetical protein
EHKPOLGJ_00177	gene	948				
EHKPOLGJ_00177	CDS	948			COG1702	PhoH-like protein
EHKPOLGJ_00178	gene	468	ybeY			
EHKPOLGJ_00178	CDS	468	ybeY	3.1.-.-		Endoribonuclease YbeY
EHKPOLGJ_00179	gene	345	dgkA			
EHKPOLGJ_00179	CDS	345	dgkA	2.7.1.66	COG0818	Undecaprenol kinase
EHKPOLGJ_00180	gene	405	cdd			
EHKPOLGJ_00180	CDS	405	cdd	3.5.4.5	COG0295	Cytidine deaminase
EHKPOLGJ_00181	gene	900	era			
EHKPOLGJ_00181	CDS	900	era			GTPase Era
EHKPOLGJ_00182	gene	747	recO			
EHKPOLGJ_00182	CDS	747	recO		COG1381	DNA repair protein RecO
EHKPOLGJ_00183	gene	1392	glyQS			
EHKPOLGJ_00183	CDS	1392	glyQS	6.1.1.14		Glycine--tRNA ligase
EHKPOLGJ_00184	gene	540	ccpN			
EHKPOLGJ_00184	CDS	540	ccpN		COG0517	Transcriptional repressor CcpN
EHKPOLGJ_00185	gene	819	yqfL			
EHKPOLGJ_00185	CDS	819	yqfL	2.7.11.32	COG1806	Putative pyruvate, phosphate dikinase regulatory protein
EHKPOLGJ_00186	gene	1818	dnaG			
EHKPOLGJ_00186	CDS	1818	dnaG	2.7.7.-	COG0358	DNA primase
EHKPOLGJ_00187	gene	1107	sigA			
EHKPOLGJ_00187	CDS	1107	sigA			RNA polymerase sigma factor SigA
EHKPOLGJ_00188	gene	678	trmK			
EHKPOLGJ_00188	CDS	678	trmK	2.1.1.217	COG2384	tRNA (adenine(22)-N(1))-methyltransferase
EHKPOLGJ_00189	gene	1101				
EHKPOLGJ_00189	CDS	1101			COG0327	GTP cyclohydrolase 1 type 2 
EHKPOLGJ_00190	gene	1347	cshB			
EHKPOLGJ_00190	CDS	1347	cshB	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshB
EHKPOLGJ_00191	gene	891	nfo			
EHKPOLGJ_00191	CDS	891	nfo	3.1.21.2		putative endonuclease 4
EHKPOLGJ_00192	gene	786	btuD_1			
EHKPOLGJ_00192	CDS	786	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EHKPOLGJ_00193	gene	873	znuB			
EHKPOLGJ_00193	CDS	873	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
EHKPOLGJ_00194	gene	411	zur			
EHKPOLGJ_00194	CDS	411	zur		COG0735	Zinc-specific metallo-regulatory protein
EHKPOLGJ_00195	gene	600	sodA			
EHKPOLGJ_00195	CDS	600	sodA	1.15.1.1		Superoxide dismutase [Mn/Fe] 1
EHKPOLGJ_00196	gene	2076	pbpH			
EHKPOLGJ_00196	CDS	2076	pbpH		COG0768	Penicillin-binding protein H
EHKPOLGJ_00197	gene	150	rpmG2_1			
EHKPOLGJ_00197	CDS	150	rpmG2_1		COG0267	50S ribosomal protein L33 2
EHKPOLGJ_00198	gene	594	yqgN			
EHKPOLGJ_00198	CDS	594	yqgN		COG0212	putative protein YqgN
EHKPOLGJ_00199	gene	1464	gluP			
EHKPOLGJ_00199	CDS	1464	gluP	3.4.21.105	COG0705	Rhomboid protease GluP
EHKPOLGJ_00200	gene	987	glcK			
EHKPOLGJ_00200	CDS	987	glcK	2.7.1.2	COG1940	Glucokinase
EHKPOLGJ_00201	gene	330				
EHKPOLGJ_00201	CDS	330				hypothetical protein
EHKPOLGJ_00202	gene	624				
EHKPOLGJ_00202	CDS	624		3.-.-.-		putative metallo-hydrolase
EHKPOLGJ_00203	gene	975	comGA			
EHKPOLGJ_00203	CDS	975	comGA		COG2804	ComG operon protein 1
EHKPOLGJ_00204	gene	1071				
EHKPOLGJ_00204	CDS	1071				hypothetical protein
EHKPOLGJ_00205	gene	312	comGC			
EHKPOLGJ_00205	CDS	312	comGC		COG4537	ComG operon protein 3
EHKPOLGJ_00206	gene	435				
EHKPOLGJ_00206	CDS	435				hypothetical protein
EHKPOLGJ_00207	gene	300				
EHKPOLGJ_00207	CDS	300				hypothetical protein
EHKPOLGJ_00208	gene	375				
EHKPOLGJ_00208	CDS	375				hypothetical protein
EHKPOLGJ_00209	gene	525	aroK			
EHKPOLGJ_00209	CDS	525	aroK	2.7.1.71		Shikimate kinase
EHKPOLGJ_00210	gene	1092	gcvT			
EHKPOLGJ_00210	CDS	1092	gcvT	2.1.2.10		Aminomethyltransferase
EHKPOLGJ_00211	gene	1347	gcvPA			
EHKPOLGJ_00211	CDS	1347	gcvPA	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 1
EHKPOLGJ_00212	gene	1473	gcvPB			
EHKPOLGJ_00212	CDS	1473	gcvPB	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 2
EHKPOLGJ_00213	gene	387	yibN			
EHKPOLGJ_00213	CDS	387	yibN		COG0607	putative protein YibN
EHKPOLGJ_00214	gene	831	lipM			
EHKPOLGJ_00214	CDS	831	lipM	2.3.1.181	COG0095	Octanoyltransferase LipM
EHKPOLGJ_00215	gene	219				
EHKPOLGJ_00215	CDS	219				hypothetical protein
EHKPOLGJ_00216	gene	582				
EHKPOLGJ_00216	CDS	582				hypothetical protein
EHKPOLGJ_00217	gene	1062	ypdF			
