Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
EHKPOLGJ_01197	AJP18751.1|GT2|	100.0	573	0	0	1	573	1	573	0.0e+00	1132.9
EHKPOLGJ_01201	SNV58849.1|GT2|	52.2	383	178	4	8	387	335	715	8.0e-131	396.4
EHKPOLGJ_01270	ACX49739.1|GH4|	26.3	1367	907	23	413	1687	461	1819	4.3e-117	421.8
EHKPOLGJ_01285	AMW24368.1|GT0|	68.8	375	117	0	1	375	1	375	5.8e-193	542.0
EHKPOLGJ_01286	CVK34402.1|GT4|	42.1	401	222	8	1	399	3	395	2.6e-103	330.5
EHKPOLGJ_01289	APZ39024.1|GT4|	100.0	401	0	0	1	401	1	401	4.7e-297	807.0
EHKPOLGJ_01292	AWQ24436.1|GT4|	100.0	369	0	0	1	369	1	369	2.2e-263	719.2
EHKPOLGJ_01294	AOP03843.1|GT0|	52.0	381	172	2	5	374	22	402	1.9e-130	384.0
EHKPOLGJ_01296	VEJ19452.1|GT4|	63.6	332	118	2	4	334	372	701	1.1e-139	416.8
EHKPOLGJ_01320	AHZ98841.1|GH73|	100.0	1257	0	0	1	1257	1	1257	0.0e+00	2437.9
EHKPOLGJ_01466	AQR47904.1|GH73|	100.0	348	0	0	1	348	1	348	5.5e-260	708.8
EHKPOLGJ_01525	VDZ17397.1|GT51|	100.0	727	0	0	1	727	1	727	0.0e+00	1396.3
EHKPOLGJ_01533	AWQ22926.1|GT4|	100.0	380	0	0	1	380	1	380	1.2e-277	756.1
EHKPOLGJ_01554	VEB65719.1|CBM50|	100.0	483	0	0	1	483	1	483	2.5e-241	672.9
EHKPOLGJ_01650	AWQ23510.1|GH32|	100.0	494	0	0	1	494	1	494	0.0e+00	1036.9
EHKPOLGJ_01726	QCT64928.1|GH23|	100.0	1509	0	0	1	1509	1	1509	0.0e+00	2614.7
EHKPOLGJ_01760	AHO16406.1|GH13_11|	56.9	364	151	4	15	374	11	372	1.2e-131	400.6
EHKPOLGJ_01762	AUV68874.1|GT0|	69.1	375	116	0	1	375	1	375	3.6e-190	534.6
EHKPOLGJ_01768	QBL10804.1|GT4|	56.5	508	208	2	1	495	1	508	3.0e-192	550.4
EHKPOLGJ_01777	VDZ18099.1|GH23|	100.0	231	0	0	1	231	1	231	6.3e-155	433.3
EHKPOLGJ_01862	AXG47089.1|GH13_3|	48.9	450	229	1	4	452	17	466	2.4e-151	443.4
EHKPOLGJ_01958	AJP20270.1|GT51|	100.0	269	0	0	1	269	1	269	1.5e-174	486.1
EHKPOLGJ_01975	AWQ91297.1|GH0	98.9	745	8	0	1	745	1	745	0.0e+00	1509.6
EHKPOLGJ_01982	BBE28341.1|CBM50|	99.8	532	1	0	1	532	1	532	4.0e-272	755.0
EHKPOLGJ_02001	AWQ24411.1|GT4|	100.0	388	0	0	1	388	1	388	1.5e-282	769.2
EHKPOLGJ_02059	QCA27690.1|GH23|	100.0	233	0	0	1	233	1	233	5.6e-159	443.7
EHKPOLGJ_02065	CCG17174.1|GT2|	100.0	375	0	0	1	375	1	375	6.6e-277	753.8
EHKPOLGJ_02071	QBQ55156.1|CBM50|	38.1	654	379	10	163	801	69	711	3.9e-120	388.7
EHKPOLGJ_02081	AWK40335.1|GH6|	33.5	680	364	10	72	670	168	840	1.2e-110	359.8
EHKPOLGJ_02120	AWQ24537.1|GH1|	100.0	478	0	0	1	478	1	478	0.0e+00	1004.2
EHKPOLGJ_02176	VUW72999.1|AA1|	51.3	460	204	7	153	606	182	627	1.7e-129	417.5
EHKPOLGJ_02341	BAU34538.1|GT28|	100.0	391	0	0	1	391	1	391	3.1e-290	788.9
EHKPOLGJ_02405	AUU46362.1|GH23|	100.0	2066	0	0	1	2066	1	2066	0.0e+00	3308.1
EHKPOLGJ_02479	VDZ17366.1|GT28|	100.0	356	0	0	1	356	1	356	2.0e-250	685.3
EHKPOLGJ_02543	AWQ24713.1|GH13_29|	100.0	546	0	0	1	546	1	546	0.0e+00	1143.6
EHKPOLGJ_02545	APT74155.1|CBM50|	36.5	496	302	7	10	496	27	518	4.0e-105	330.9
EHKPOLGJ_02552	AWR78655.1|GH73|	100.0	284	0	0	1	284	1	284	1.2e-206	568.5
